City,Bank Name,Acquiring Institution,State,Latitude,Longitude,Closing Date
Covington,Statewide Bank,Home Bank,LA,31.196549,-86.4597236,2010-03-12
Orlando,Old Southern Bank,Centennial Bank,FL,28.5421109,-81.3790304,2010-03-12
New York,The Park Avenue Bank,Valley National Bank,NY,40.7127281,-74.0060152,2010-03-12
New York,LibertyPointe Bank,Valley National Bank,NY,40.7127281,-74.0060152,2010-03-11
Ogden,Centennial Bank,No Acquirer,UT,41.2230048,-111.9738429,2010-03-05
Germantown,Waterfield Bank,No Acquirer,MD,39.17130815,-77.26557848822242,2010-03-05
Normal,Bank of Illinois,Heartland Bank and Trust Company,IL,40.5092961,-88.9843937,2010-03-05
Boca Raton,Sun American Bank,First-Citizens Bank & Trust Company,FL,26.3586885,-80.0830984,2010-03-05
Tacoma,Rainier Pacific Bank,Umpqua Bank,WA,47.2455013,-122.438329,2010-02-26
Carson City,Carson River Community Bank,Heritage Bank of Nevada,NV,39.1698022,-119.7575628,2010-02-26
La Jolla,"La Jolla Bank, FSB","OneWest Bank, FSB",CA,32.8401623,-117.2740777,2010-02-19
Orland Park,George Washington Savings Bank,"FirstMerit Bank, N.A.",IL,41.630663,-87.8536288,2010-02-19
La Coste,The La Coste National Bank,Community National Bank,TX,29.3102726,-98.8129169,2010-02-19
Marco Island,Marco Community Bank,Mutual of Omaha Bank,FL,25.9363356,-81.7156832,2010-02-19
Hancock,1st American State Bank of Minnesota,"Community Development Bank, FSB",MN,45.497461,-95.796714,2010-02-05
Bainbridge Island,American Marine Bank,Columbia State Bank,WA,47.647696749999994,-122.5460926142444,2010-01-29
Los Angeles,First Regional Bank,First-Citizens Bank & Trust Company,CA,34.0536909,-118.242766,2010-01-29
Cornelia,Community Bank and Trust,SCBT National Association,GA,34.5114883,-83.5271166,2010-01-29
Hallock,"Marshall Bank, N.A.",United Valley Bank,MN,48.7744263,-96.946447,2010-01-29
Immokalee,Florida Community Bank,"Premier American Bank, N.A.",FL,26.42016,-81.42224084651733,2010-01-29
Carrollton,First National Bank of Georgia,Community & Southern Bank,GA,33.5801103,-85.0766113,2010-01-29
The Dalles,Columbia River Bank,Columbia State Bank,OR,45.6015056,-121.1841587,2010-01-22
Seattle,Evergreen Bank,Umpqua Bank,WA,47.6038321,-122.330062,2010-01-22
Santa Fe,Charter Bank,Charter Bank,NM,35.6876096,-105.938456,2010-01-22
Leeton,Bank of Leeton,"Sunflower Bank, N.A.",MO,38.5830717,-93.694658,2010-01-22
Miami,Premier American Bank,"Premier American Bank, N.A.",FL,25.7741728,-80.19362,2010-01-22
Kaysville,Barnes Banking Company,No Acquirer,UT,41.0349847,-111.9383931,2010-01-15
St. Stephen,St. Stephen State Bank,First State Bank of St. Joseph,MN,45.702743,-94.2744404,2010-01-15
Antioch,Town Community Bank & Trust,First American Bank,IL,42.4767131,-88.0950691,2010-01-15
Bellingham,Horizon Bank,Washington Federal Savings and Loan Association,WA,48.7544012,-122.478836,2010-01-08
Santa Monica,"First Federal Bank of California, F.S.B.","OneWest Bank, FSB",CA,34.0194704,-118.491227,2009-12-18
La Jolla,Imperial Capital Bank,City National Bank,CA,32.8401623,-117.2740777,2009-12-18
Springfield,Independent Bankers' Bank,The Independent BankersBank (TIB),IL,39.7990175,-89.6439575,2009-12-18
Irondale,New South Federal Savings Bank,Beal Bank,AL,33.5381601,-86.7072102,2009-12-18
New Baltimore,Citizens State Bank,No Acquirer,MI,42.6811436,-82.7368616,2009-12-18
Panama City,Peoples First Community Bank,Hancock Bank,FL,30.1586518,-85.6602936,2009-12-18
Atlanta,RockBridge Commercial Bank,No Acquirer,GA,33.7489924,-84.3902644,2009-12-18
Overland Park,SolutionsBank,Arvest Bank,KS,38.9742502,-94.6851702,2009-12-11
Mesa,"Valley Capital Bank, N.A.",Enterprise Bank & Trust,AZ,33.4151005,-111.831455,2009-12-11
Miami,"Republic Federal Bank, N.A.",1st United Bank,FL,25.7741728,-80.19362,2009-12-11
Reston,Greater Atlantic Bank,Sonabank,VA,38.953055899999995,-77.35021396591173,2009-12-04
Aurora,Benchmark Bank,"MB Financial Bank, N.A.",IL,41.7571701,-88.3147539,2009-12-04
Cleveland,AmTrust Bank,New York Community Bank,OH,41.4996574,-81.6936772,2009-12-04
Reidsville,The Tattnall Bank,Heritage Bank of the South,GA,32.0868611,-82.1178978,2009-12-04
Norcross,First Security National Bank,State Bank and Trust Company,GA,33.9412127,-84.2135309,2009-12-04
Atlanta,The Buckhead Community Bank,State Bank and Trust Company,GA,33.7489924,-84.3902644,2009-12-04
Fort Myers,Commerce Bank of Southwest Florida,Central Bank,FL,26.640628,-81.8723084,2009-11-20
San Clemente,Pacific Coast National Bank,Sunwest Bank,CA,33.4270275,-117.6124179,2009-11-13
Naples,Orion Bank,IBERIABANK,FL,26.1421976,-81.7942944,2009-11-13
Sarasota,"Century Bank, F.S.B.",IBERIABANK,FL,27.3365805,-82.5308545,2009-11-13
San Francisco,United Commercial Bank,East West Bank,CA,37.7790262,-122.419906,2009-11-06
St. Louis,Gateway Bank of St. Louis,Central Bank of Kansas City,MO,38.6280278,-90.1910154,2009-11-06
Oakdale,Prosperan Bank,"Alerus Financial, N.A.",MN,44.985624,-92.9645794,2009-11-06
Detroit,Home Federal Savings Bank,Liberty Bank and Trust Company,MI,42.3315509,-83.0466403,2009-11-06
Sparta,United Security Bank,Ameris Bank,GA,33.2757006,-82.9762589,2009-11-06
Houston,North Houston Bank,U.S. Bank N.A.,TX,29.7589382,-95.3676974,2009-10-30
Madisonville,Madisonville State Bank,U.S. Bank N.A.,TX,30.9498688,-95.9127773,2009-10-30
Teague,Citizens National Bank,U.S. Bank N.A.,TX,31.6271145,-96.2838621,2009-10-30
Chicago,Park National Bank,U.S. Bank N.A.,IL,41.8755616,-87.6244212,2009-10-30
San Francisco,Pacific National Bank,U.S. Bank N.A.,CA,37.7790262,-122.419906,2009-10-30
Los Angeles,California National Bank,U.S. Bank N.A.,CA,34.0536909,-118.242766,2009-10-30
